ID,FLAGBINARY,PHONE,MSTAT,RSTAT,KIDS,CARDI,CARDH2,AGE,TAD,BUREAU,SEARCH,phone1,PhoneWoe,MSgrouped,Married1,Married2,MSwoe,AgeBinned,AgeGrouped,Age_d_1,Age_d_2,Age_d_3,Age_d_4,Age_d_5,Age_d_6,Age_d_7,Age_d_8,AgeWoe,PRE_1,PRE_2,PRE_3
1,0,1,2,3,0,0,0,65,101,0,0,1,.08,2,0,1,-.5,10,10,0,0,0,0,0,0,0,1,1.13,.935225016919551,.94595376791692,.94595376791692
2,1,1,2,3,0,0,0,22,26,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
3,0,0,1,2,3,0,0,41,19,0,0,0,-.79,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.779727198512969,.779727198512969
5,0,0,4,1,6,0,0,40,237,0,0,0,-.79,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.779727198512969,.779727198512969
6,1,1,1,3,0,0,0,70,5,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
7,0,1,1,3,3,0,0,35,196,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
9,1,1,4,3,0,0,0,63,50,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
10,0,1,3,1,0,0,0,47,54,1,1,1,.08,3,0,0,-.06,9,8,0,0,0,0,0,0,1,0,.64,.88041444171604,.892828673296522,.892828673296522
13,1,1,3,3,3,0,0,35,153,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
14,0,1,1,3,2,0,0,33,49,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
16,1,1,4,3,2,0,0,31,40,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.875146180519427,.880383261687306,.880383261687306
17,1,1,1,3,1,0,1,46,256,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
20,1,1,2,3,0,1,0,26,1,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.795125309967657,.814064783319128,.814064783319128
21,1,1,1,1,0,0,0,66,184,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
